id_pregunta;texto;id_tarjeta
1;What is the closest planet to the Sun?;1
2;What gas is the main component of Earth's atmosphere?;2
3;Which physicist introduced the notion of "spacetime" as a four-dimensional continuum where physical events occur?;3
4;In what year did Christopher Columbus first arrive in America?;4
5;In what year did the French Revolution begin?;5
6;Who was the military leader that led the Mongol Empire at its peak?;6
7;What is the longest river in the world?;7
8;What is the largest sea in the world?;8
9;In which country is the Atacama Desert located?;9
10;In which sport are a ball and a racket used?;10
11;Which athlete is known as the "Lightning Bolt of Jamaica" and has won multiple Olympic medals?;11
12;Which was the first football club to win the UEFA Champions League under its current name?;12
13;Who painted the Mona Lisa?;13
14;Which painter is known for his surrealist style and his famous painting "The Persistence of Memory"?;14
15;Who was the author of "In Search of Lost Time," one of the most important works of French literature?;15
16;Who played Tony Stark (Iron Man) in the Marvel Cinematic Universe films?;16
17;Which director is recognized for directing "The Lord of the Rings" trilogy?;17
18;What is the title of the German sci-fi and mystery series involving time travel and an intricate web of family connections?;18
19;What operating system does the iPhone use?;19
20;What does HTML stand for in web development?;20
21;In cybersecurity, which technique consists of intercepting and sometimes altering communication between two parties without them noticing?;21
22;What is the value of 9²?;22
23;If a triangle has a 90° angle and the other two angles measure 45° each, what is this triangle called?;23
24;What is the value of the expression 2/5×3/4?;24
25;What is the capital of France?;25
26;Which author wrote "One Hundred Years of Solitude"?;26
27;Which was the first country to grant women the right to vote?;27
28;Who is known as the "King of Pop"?;28
29;Which band released the album "The Dark Side of the Moon" in 1973?;29
30;Which of the following works was composed by Igor Stravinsky?;30
31;What is the chemical formula for water?;1
32;What is a neutrino?;2
33;What is the approximate value of Planck's constant (h)?;3
34;Who was the first president of the United States?;4
35;In what year was the Berlin Wall torn down?;5
36;Which treaty officially ended World War I?;6
37;What is the capital of Japan?;7
38;What is the largest country in the world by land area?;8
39;Which point on Earth, measured from the planet's center, is the farthest away?;9
40;How many players are on a football team during a match?;10
41;Who holds the record for the most Grand Slam titles in men's tennis in the Open Era?;11
42;Which national team has won the most Copa América titles in history?;12
43;Who wrote the novel "1984"?;13
44;Which artistic movement, originating in France in the late 19th century, is characterized by capturing the visual impression of a moment, especially regarding light and color?;14
45;Which literary work by James Joyce is considered a milestone of modernism, narrating a single day in the lives of Dublin's inhabitants?;15
46;In which animated movie does a clownfish embark on an adventure to find his son?;16
47;Which director is known for cult films like "Pulp Fiction" and "Kill Bill"?;17
48;Which movie set the record for 11 Oscar wins at the 2004 Academy Awards?;18
49;Which company developed the Windows operating system?;19
50;Which was the first social network to reach 1 billion active users?;20
51;What type of artificial intelligence is based on deep neural networks to learn from large amounts of data?;21
52;What is 7 × 8?;22
53;What is the square root of 196?;23
54;What is the value of ln(e⁵)?;24
55;Which country is known as the "Land of the Rising Sun"?;25
56;In what year was the United Nations (UN) founded?;26
57;In what year was the World Health Organization (WHO) founded?;27
58;Which musical instrument has black and white keys?;28
59;Which of these music genres originated in Jamaica?;29
60;Who composed the famous opera "La Traviata"?;30
61;What is the most abundant metal in Earth's crust?;1
62;Which of the following units is used to measure electric current intensity?;2
63;Which scientist received two Nobel Prizes in different disciplines?;3
64;In which country did the Industrial Revolution take place?;4
65;What event marked the beginning of World War II?;5
66;Who was the first emperor of China?;6
67;On which continent is Egypt located?;7
68;Which country has the most time zones in the world, including overseas territories?;8
69;What is the deepest lake in the world?;9
70;How many Olympic rings are on the Olympic Games flag?;10
71;In which country was basketball invented?;11
72;How many times has the New Zealand rugby team won the Rugby World Cup (until 2023)?;12
73;Who painted the fresco in the Sistine Chapel in the Vatican?;13
74;Which of these novels was written by Jane Austen?;14
75;Who composed the opera "The Barber of Seville"?;15
76;What is the name of Shrek’s best friend in the movie "Shrek"?;16
77;In which series does the character Walter White, a chemistry teacher turned drug dealer, appear?;17
78;Which of these directors has won the most Academy Awards for Best Director?;18
79;What does the acronym "USB" stand for in technology?;19
80;Which company developed the Android operating system?;20
81;Which scientist is considered the father of modern computing?;21
82;What is the result of the following operation following the order of operations? 3+5×2;22
83;What is the solution to the following equation? 3(x−2)=2x+4;23
84;;24
85;Which language has the largest number of native speakers in the world?;25
86;Which civilization built Machu Picchu?;26
87;Which treaty, signed in 1648, ended the Thirty Years' War?;27
88;Which musical instrument is played by blowing air through a reed?;28
89;Who was the lead singer of the rock band Nirvana?;29
